xoxoxoxoxoxoxoxoxoxoxoxoxoxox
xooooooooooooooooooooooooooox
xoxoxoxoxoxoxxxxxoxoxoxoxoxox
xooooooooooox   xooooooooooox
xoxoxoxoxoxxx   xxxoxoxoxoxox
xooooooooox       xooooooooox
xoxoxoxoxxx       xxxoxoxoxox
xooooooox           xooooooox
xoxoxoxxx           xxxoxoxox
xooooox               xooooox
xooooox               xooooox
xooooox               xooooox
xooooox               xooooox
xooooox               xooooox
xxxoxxx               xxxoxxx
xxxoxxx               xxxoxxx
xooooox               xooooox
xooooox               xooooox
xooooox               xooooox
xooooox               xooooox
xxxoxxx               xxxoxxx
xxxoxxx               xxxoxxx
xooooox               xooooox
xooooox               xooooox
xooooox               xooooox
xooooox               xooooox
xoxoxoxxxxxxxxxxxxxxxxxoxoxox
xooooooooooooooooooooooooooox
